epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,720.681,0.89914,0.87182,1.46777,0.90164,0.8937,0.94765,0.6936,0.93929,0.63646,1.42241,0.000666484,0.000666484,0.000666484
2,1421.94,0.85111,0.53516,1.41219,0.92499,0.9341,0.97617,0.75945,0.83002,0.51992,1.28463,0.00120117,0.00120117,0.00120117
3,2151.96,0.78197,0.48069,1.35938,0.95251,0.9563,0.98631,0.81693,0.71361,0.43374,1.17921,0.00160385,0.00160385,0.00160385
4,2871.42,0.7196,0.43282,1.30172,0.93934,0.96944,0.98623,0.83524,0.66179,0.3938,1.13754,0.001406,0.001406,0.001406
5,3588.37,0.65773,0.39398,1.25731,0.93339,0.97849,0.98918,0.86126,0.60238,0.36244,1.07604,0.001208,0.001208,0.001208
6,4295.39,0.60188,0.36449,1.21319,0.96229,0.96603,0.99066,0.87506,0.5415,0.33414,1.02775,0.00101,0.00101,0.00101
7,5009.76,0.55931,0.33938,1.18125,0.96572,0.9724,0.99095,0.88469,0.51591,0.31459,1.00048,0.000812,0.000812,0.000812
8,5731.5,0.52377,0.31559,1.15511,0.94599,0.98619,0.99142,0.89971,0.48009,0.29721,0.96937,0.000614,0.000614,0.000614
9,6447.65,0.48729,0.29742,1.12635,0.97628,0.97561,0.99251,0.90446,0.46287,0.28304,0.95084,0.000416,0.000416,0.000416
10,7161.64,0.45489,0.27604,1.10352,0.94605,0.98836,0.99178,0.9116,0.44215,0.27554,0.9351,0.000218,0.000218,0.000218
