epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.284,0.75608,1.66059,1.66431,1.3263,0.87704,0.82606,0.9062,0.66059,0.87551,0.79963,0.87859,0.55447,0.91075,2.40204,1.13281,1.49403,0.00066417,0.00066417,0.00066417
2,301.808,0.8846,1.70219,1.14323,1.42226,0.8474,0.76838,0.87733,0.58821,0.84735,0.75511,0.86062,0.55225,1.02683,1.94974,1.18818,1.56083,0.00119908,0.00119908,0.00119908
3,445.171,0.90344,1.72361,0.90569,1.4385,0.90635,0.81066,0.91088,0.61627,0.86219,0.75919,0.84806,0.49706,1.11544,2.21434,0.95454,1.59551,0.001602,0.001602,0.001602
4,585.119,0.82896,1.67018,0.75388,1.37296,0.85814,0.88971,0.92872,0.70194,0.85616,0.88603,0.92379,0.65225,0.86377,1.57935,0.74496,1.38261,0.001406,0.001406,0.001406
5,728.732,0.79802,1.5542,0.66231,1.34231,0.93668,0.8974,0.9636,0.76266,0.93285,0.89372,0.9588,0.71733,0.78552,1.42095,0.60016,1.27615,0.001208,0.001208,0.001208
6,871.479,0.70822,1.40963,0.57633,1.26276,0.93678,0.92607,0.96691,0.76187,0.92948,0.92096,0.94851,0.70403,0.80136,1.41388,0.57149,1.28488,0.00101,0.00101,0.00101
7,1012.48,0.6321,1.33822,0.51735,1.2044,0.96131,0.94118,0.97903,0.8272,0.96319,0.94301,0.97423,0.75904,0.6077,1.23513,0.47413,1.12337,0.000812,0.000812,0.000812
8,1156.55,0.56871,1.21337,0.44988,1.13645,0.968,0.97426,0.98897,0.84653,0.95833,0.95956,0.97813,0.78952,0.60535,1.13834,0.44021,1.11939,0.000614,0.000614,0.000614
9,1298.07,0.51507,1.13385,0.4121,1.10475,0.94215,0.97426,0.98685,0.86757,0.94256,0.96875,0.98085,0.79545,0.53122,1.10401,0.41842,1.05127,0.000416,0.000416,0.000416
10,1443.84,0.47777,1.06242,0.37602,1.06735,0.96348,0.96987,0.98887,0.88041,0.96348,0.96999,0.98393,0.80706,0.50169,1.07989,0.37162,1.04005,0.000218,0.000218,0.000218
